4wheeler,4wheeler_sales
TATA MOTOR,42701
MG MOTOR INDIA,5591
BYD INDIA,1477
HYUNDAI MOTOR INDIA,998
MAHINDRA & MAHINDRA,668
BMW INDIA PVT LTD,469
KIA MOTORS INDIA,384
PCA AUTOMOBILES INDIA,334
Others,1221
